ski_resort_name,city,country,longitude,latitude,rating,elevation_info,total_slopes,blue_slopes,red_slopes,black_slopes,total_lifts,total_big_gondolas,total_gondolas,total_chairlifts,total_t_bars,total_moving_carpets
Ski resort Ponte di Legno/​Tonale/​Presena Glacier/​Temù (Pontedilegno-Tonale),Passo del Tonale (Tonale Pass),Italy,10.5818471,46.2580068,4.2 out of 5 stars,1121 m - 3000 m (Difference 1879 m),100.0,24.0,60.0,16.0,30.0,0,4,19,3,4
Ski resort Ofterschwang/​Gunzesried – Ofterschwanger Horn,Ofterschwang,Germany,10.2362108,47.5008514,3.7 out of 5 stars,880 m - 1405 m (Difference 525 m),16.5,4.6,9.2,2.7,7.0,0,2,2,1,0
Ski resort Sonnenkopf – Klösterle,Klösterle,Austria,10.0921339,47.1312847,3.6 out of 5 stars,1000 m - 2300 m (Difference 1300 m),29.5,12.8,15.9,0.8,9.0,0,1,4,3,0
Ski resort Hochficht,Klaffer am Hochficht,Austria,13.8803764,48.6955597,3.6 out of 5 stars,866 m - 1338 m (Difference 472 m),20.1,9.1,10.0,1.0,9.0,0,2,3,2,2
Ski resort Schlick 2000 – Fulpmes,Fulpmes,Austria,11.3490587,47.1530974,3.9 out of 5 stars,1009 m - 2240 m (Difference 1231 m),25.0,13.5,8.0,3.5,9.0,0,3,3,3,0
Ski resort St. Anton/​St. Christoph/​Stuben/​Lech/​Zürs/​Warth/​Schröcken – Ski Arlberg,St. Anton am Arlberg,Austria,10.2663669,47.1288996,4.8 out of 5 stars,1304 m - 2811 m (Difference 1507 m),302.0,130.0,122.0,50.0,85.0,5,12,42,21,1
Ski resort SkiWelt Wilder Kaiser-Brixental,Ellmau,Austria,12.3024747,47.5136972,4.8 out of 5 stars,620 m - 1869 m (Difference 1249 m),275.0,115.0,121.0,39.0,81.0,0,16,32,14,9
Ski resort Serfaus-Fiss-Ladis,Serfaus,Austria,10.6103285,47.0375066,4.8 out of 5 stars,1200 m - 2828 m (Difference 1628 m),186.0,47.0,112.0,27.0,38.0,0,11,16,8,0
Ski resort Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Saalbach,Austria,12.6364473,47.3914586,4.7 out of 5 stars,830 m - 2096 m (Difference 1266 m),270.0,140.0,112.0,18.0,69.0,0,28,21,16,1
Ski resort St. Moritz – Corviglia,St. Moritz,Switzerland,9.8392428,46.4978958,4.7 out of 5 stars,1735 m - 3057 m (Difference 1322 m),155.0,42.0,79.0,34.0,23.0,2,1,12,3,0
Ski resort Schladming – Planai/​​Hochwurzen/​​Hauser Kaibling/​​Reiteralm (4-Berge-Skischaukel),Schladming,Austria,13.6867878,47.3940415,4.7 out of 5 stars,728 m - 2015 m (Difference 1287 m),123.0,46.4,68.3,8.3,47.0,1,10,19,12,3
Ski resort Sölden,Sölden,Austria,11.0070193,46.9673961,4.7 out of 5 stars,1350 m - 3340 m (Difference 1990 m),147.0,69.8,44.8,31.9,31.0,0,8,13,8,1
Ski resort Arosa Lenzerheide,Arosa,Switzerland,9.6781356,46.7797248,4.7 out of 5 stars,1229 m - 2865 m (Difference 1636 m),225.0,110.0,87.0,28.0,43.0,4,4,18,16,0
Ski resort Mayrhofen – Penken/​Ahorn/​Rastkogel/​Eggalm,Mayrhofen,Austria,11.8638664,47.1672188,4.7 out of 5 stars,630 m - 2500 m (Difference 1870 m),142.0,44.0,66.0,32.0,58.0,2,7,17,11,13
Ski resort Tignes/​Val d'Isère,Tignes le Lac,France,6.907594,45.4697293,4.6 out of 5 stars,1550 m - 3456 m (Difference 1906 m),300.0,170.0,78.0,52.0,85.0,2,8,41,25,0
Ski resort Les 3 Vallées – Val Thorens/​Les Menuires/​Méribel/​Courchevel,Val Thorens,France,6.5822693,45.2979109,4.6 out of 5 stars,(612 m  -) 1100 m - 3230 m (Difference 2130 m),600.0,312.0,216.0,72.0,157.0,4,35,57,35,0
Ski resort Zermatt/​Breuil-Cervinia/​Valtournenche – Matterhorn,Zermatt,Switzerland,7.749254,46.0212076,4.5 out of 5 stars,1562 m - 3899 m (Difference 2337 m),322.0,75.0,220.0,27.0,51.0,8,11,22,6,0
Ski resort Snow Space Salzburg – Flachau/​Wagrain/​St. Johann-Alpendorf,Alpendorf,Austria,13.1954241,47.3225067,4.5 out of 5 stars,740 m - 1980 m (Difference 1240 m),120.0,34.0,82.1,4.0,45.0,2,10,16,8,2
Ski resort Laax/​Flims/​Falera,Flims,Switzerland,9.2834557,46.8332439,4.5 out of 5 stars,1100 m - 3018 m (Difference 1918 m),214.0,87.0,76.0,51.0,30.0,2,13,7,8,0
Ski resort Grandvalira – Pas de la Casa/​Grau Roig/​Soldeu/​El Tarter/​Canillo/​Encamp,Canillo,Andorra,1.657443091509017,42.586809200000005,4.4 out of 5 stars,(1300 m  -) 1710 m - 2640 m (Difference 930 m),215.0,100.0,82.0,33.0,74.0,0,6,28,25,0
Ski resort Schmittenhöhe – Zell am See,Zell am See,Austria,12.7963165,47.3239636,4.4 out of 5 stars,760 m - 2000 m (Difference 1240 m),77.0,30.0,28.0,19.0,28.0,2,7,10,4,2
Ski resort Bad Gastein/​Bad Hofgastein – Schlossalm/​Angertal/​Stubnerkogel,Bad Hofgastein,Austria,13.1060635,47.1703104,4.4 out of 5 stars,860 m - 2300 m (Difference 1440 m),82.7,30.8,49.3,2.6,18.0,1,7,6,3,0
Ski resort Nassfeld – Hermagor,Sonnenalpe Nassfeld,Austria,13.2745415,46.5638824,4.4 out of 5 stars,600 m - 2002 m (Difference 1402 m),110.0,30.0,69.0,11.0,30.0,0,5,9,10,5
Ski resort Adelboden/​Lenk – Chuenisbärgli/​Silleren/​Hahnenmoos/​Metsch,Adelboden,Switzerland,7.5587618,46.4927213,4.4 out of 5 stars,(1072 m  -) 1260 m - 2200 m (Difference 940 m),86.0,46.0,34.0,6.0,25.0,0,5,7,6,2
Ski resort La Plagne (Paradiski),Plagne Centre,France,6.6743647,45.5058779,4.4 out of 5 stars,1207 m - 3167 m (Difference 1960 m),225.0,139.0,59.0,27.0,74.0,2,11,29,22,0
Ski resort Serre Chevalier – Briançon/​Chantemerle/​Villeneuve-la-Salle/​Le Monêtier-les-Bains,Chantemerle,France,3.65927,48.61157,4.4 out of 5 stars,1200 m - 2800 m (Difference 1600 m),250.0,138.0,80.0,32.5,59.0,1,5,20,25,0
Ski resort Andermatt/​Oberalp/​Sedrun,Andermatt,Switzerland,8.5948148,46.6340499,4.4 out of 5 stars,1444 m - 2600 m (Difference 1156 m),70.0,18.0,40.0,12.0,13.0,0,3,8,1,0
Ski resort Trysil,Trysil Turistsenter,Norway,12.24202,61.305959,4.4 out of 5 stars,395 m - 1100 m (Difference 705 m),78.0,40.0,18.0,20.0,31.0,0,0,6,25,0
Ski resort 4 Vallées – Verbier/​La Tzoumaz/​Nendaz/​Veysonnaz/​Thyon,Verbier,Switzerland,7.2286765,46.0961011,4.3 out of 5 stars,(826 m  -) 1350 m - 3330 m (Difference 1980 m),412.0,107.0,202.0,103.0,68.0,4,13,16,30,0
Ski resort Klausberg – Skiworld Ahrntal,Steinhaus (Cadipietra),Italy,11.9812416,46.9960093,4.3 out of 5 stars,1050 m - 2510 m (Difference 1460 m),40.5,19.4,14.3,6.8,11.0,0,4,4,0,3
Ski resort Alpe di Siusi (Seiser Alm),Seiser Alm (Alpe di Siusi),Italy,11.6170037,46.5423625,4.3 out of 5 stars,(1000 m  -) 1227 m - 2220 m (Difference 993 m),63.0,15.0,45.0,3.0,21.0,0,2,15,3,0
Ski resort 3 Zinnen Dolomites – Helm/​Stiergarten/​Rotwand/​Kreuzbergpass,Vierschach (Versciaco),Italy,12.3267494,46.730454,4.3 out of 5 stars,1130 m - 2200 m (Difference 1070 m),86.4,40.4,37.6,8.4,20.0,0,6,5,8,0
Ski resort Scuol – Motta Naluns,Scuol,Switzerland,10.2996234,46.7976371,4.3 out of 5 stars,1250 m - 2785 m (Difference 1535 m),70.0,27.0,32.0,11.0,12.0,0,1,6,2,3
Ski resort Hafjell,Hafjell,Norway,10.5269539,61.2296722,4.3 out of 5 stars,195 m - 1059 m (Difference 864 m),50.0,38.0,8.0,4.0,18.0,0,1,4,10,3
Ski resort Titlis – Engelberg,Engelberg,Switzerland,8.4043996,46.8223497,4.3 out of 5 stars,1003 m - 3020 m (Difference 2017 m),70.0,18.0,42.5,9.5,18.0,3,2,6,4,1
Ski resort La Molina/​Masella – Alp2500,La Molina,Spain,1.9562059,42.3427392,4.3 out of 5 stars,1616 m - 2537 m (Difference 921 m),145.0,80.0,47.0,18.0,33.0,0,1,13,9,8
Ski resort Livigno,Livigno,Italy,10.1359928,46.5381734,4.3 out of 5 stars,1816 m - 2798 m (Difference 982 m),115.0,30.0,65.0,20.0,33.0,0,7,14,11,0
Ski resort Turracher Höhe,Turracher Höhe,Austria,13.8746649,46.9154974,4.3 out of 5 stars,1400 m - 2205 m (Difference 805 m),42.7,14.5,25.0,3.2,15.0,0,0,6,7,0
Ski resort Alta Badia,Corvara,Italy,13.8726935,42.2748753,4.3 out of 5 stars,1324 m - 2778 m (Difference 1454 m),130.0,74.0,47.0,9.0,53.0,1,10,30,11,0
Ski resort Les Portes du Soleil – Morzine/​Avoriaz/​Les Gets/​Châtel/​Morgins/​Champéry,Avoriaz,Switzerland,,,4.3 out of 5 stars,985 m - 2254 m (Difference 1269 m),580.0,310.0,210.0,60.0,165.0,2,10,71,73,0
Ski resort Levi,Sirkka,Finland,24.8055734,67.8075595,4.3 out of 5 stars,196 m - 531 m (Difference 335 m),38.5,17.5,18.1,2.9,26.0,1,1,5,16,3
Ski resort Les 2 Alpes,Les Deux Alpes,France,6.155042572020265,45.00888515,4.3 out of 5 stars,(979 m  -) 1280 m - 3523 m (Difference 2243 m),200.0,110.0,56.0,34.0,44.0,0,5,14,15,0
Ski resort Katschberg,Katschberghöhe,Austria,13.615553,47.0593103,4.3 out of 5 stars,1066 m - 2220 m (Difference 1154 m),80.0,12.0,56.0,12.0,17.0,0,3,5,8,1
Ski resort Via Lattea – Sestriere/​Sauze d’Oulx/​San Sicario/​Claviere/​Montgenèvre,Sestriere,Italy,6.8786855,44.9584528,4.2 out of 5 stars,(1359 m  -) 1538 m - 2789 m (Difference 1251 m),400.0,96.0,220.0,84.0,70.0,1,5,35,19,0
Ski resort Parsenn (Davos Klosters),Davos,Switzerland,9.8236892,46.796198,4.2 out of 5 stars,810 m - 2844 m (Difference 2034 m),95.5,17.3,60.5,17.7,18.0,4,2,6,4,0
Ski resort Belvedere/​Col Rodella/​Ciampac/​Buffaure – Canazei/​Campitello/​Alba/​Pozza di Fassa,Canazei,Italy,11.7710748,46.4768809,4.2 out of 5 stars,1320 m - 2485 m (Difference 1165 m),55.2,7.3,40.7,7.2,35.0,4,7,17,6,0
Ski resort Kvitfjell,Kvitfjell,Norway,9.0280158,58.6834043,4.2 out of 5 stars,185 m - 1032 m (Difference 847 m),39.0,21.5,12.5,5.0,14.0,1,0,4,6,3
Ski resort Großarltal/​Dorfgastein,Dorfgastein,Austria,13.098596670094224,47.24058685,4.2 out of 5 stars,849 m - 2033 m (Difference 1184 m),67.5,31.0,35.0,1.5,16.0,0,6,6,4,0
Ski resort Passo San Pellegrino/​Falcade,Passo San Pellegrino,Italy,11.7917199,46.3783576,4.2 out of 5 stars,1190 m - 2513 m (Difference 1323 m),67.5,20.5,38.5,8.5,15.0,1,1,9,4,0
Ski resort Speikboden – Skiworld Ahrntal,Sand in Taufers (Campo Tures),Italy,11.9551824,46.9192363,4.2 out of 5 stars,950 m - 2400 m (Difference 1450 m),41.5,22.8,13.0,5.7,8.0,0,2,3,0,3
Ski resort Obersaxen/​Mundaun/​Val Lumnezia,Obersaxen Mundaun,Switzerland,9.069160133222404,46.723543500000005,4.2 out of 5 stars,1201 m - 2310 m (Difference 1109 m),120.0,60.0,40.0,20.0,15.0,0,0,9,3,0
Ski resort Saint-Lary-Soulan,Saint-Lary Soulan,France,0.3219538,42.816936,4.2 out of 5 stars,(813 m  -) 1597 m - 2515 m (Difference 918 m),105.0,60.0,35.0,10.0,24.0,1,2,10,9,2
Ski resort Grimentz/​Zinal,Grimentz,Switzerland,7.573834,46.1802947,4.2 out of 5 stars,1570 m - 2900 m (Difference 1330 m),115.0,26.5,58.6,29.9,21.0,1,3,5,9,3
Ski resort Åre,Åre,Sweden,13.0822241,63.4010888,4.2 out of 5 stars,380 m - 1274 m (Difference 894 m),91.0,45.0,38.0,8.0,35.0,1,1,5,23,0
Ski resort Baqueira/​Beret,Baqueira,Spain,0.9316411,42.6992676,4.2 out of 5 stars,1500 m - 2610 m (Difference 1110 m),165.0,77.0,68.0,20.0,36.0,0,2,18,8,7
Ski resort Kreischberg,Sankt Lorenzen ob Murau,Austria,14.0929934,47.1008207,4.2 out of 5 stars,868 m - 2118 m (Difference 1250 m),42.5,17.5,16.0,9.0,12.0,0,3,3,4,1
Ski resort Jakobshorn (Davos Klosters),Davos-Platz,Switzerland,9.8210273,46.7917679,4.2 out of 5 stars,1535 m - 2568 m (Difference 1033 m),41.2,25.5,13.2,2.5,13.0,3,0,5,3,2
Ski resort Kopaonik,Kopaonik,Serbia,20.826741,43.2689885,4.2 out of 5 stars,1060 m - 2017 m (Difference 957 m),55.0,30.0,19.0,6.0,26.0,0,1,10,10,4
Ski resort Alpe d'Huez,Alpe d'Huez,France,6.0699443,45.092401,4.2 out of 5 stars,1125 m - 3330 m (Difference 2205 m),250.0,70.0,130.0,50.0,69.0,3,14,15,19,0
Ski resort Bansko,Bansko,Bulgaria,23.4841698,41.8344086,4.2 out of 5 stars,990 m - 2530 m (Difference 1540 m),75.0,44.0,25.0,6.0,14.0,0,2,8,4,0
Ski resort Le Grand Massif – Flaine/​Les Carroz/​Morillon/​Samoëns/​Sixt,Morillon-Les Esserts,France,6.672816,46.0653095,4.1 out of 5 stars,697 m - 2480 m (Difference 1783 m),265.0,135.0,95.0,35.0,62.0,0,7,22,25,0
Ski resort Sierra Nevada – Pradollano,Pradollano,Spain,-3.3990897,37.0943309,4.1 out of 5 stars,2100 m - 3300 m (Difference 1200 m),113.0,51.5,53.0,8.0,23.0,0,2,14,3,4
Ski resort Les Arcs/​Peisey-Vallandry (Paradiski),Arc 1600,France,6.7946151,45.5941276,4.1 out of 5 stars,(807 m  -) 1200 m - 3226 m (Difference 2026 m),200.0,104.0,70.0,26.0,53.0,2,6,26,9,0
Ski resort Belalp – Blatten,Belalp,Switzerland,7.9724714,46.3714358,4.1 out of 5 stars,1322 m - 3118 m (Difference 1796 m),38.5,15.1,12.1,11.3,13.0,1,1,3,4,4
Ski resort Arabba/​Marmolada,Arabba,Italy,11.8740902,46.4971763,4.1 out of 5 stars,1446 m - 3269 m (Difference 1823 m),63.0,23.6,30.5,8.9,26.0,5,4,16,1,0
Ski resort Megève/​Saint-Gervais,Le Fayet,France,4.0752181,45.2516102,4.1 out of 5 stars,850 m - 2353 m (Difference 1503 m),263.0,98.0,134.0,31.0,81.0,2,8,27,39,0
Ski resort Espace Diamant – Les Saisies/​Notre-Dame-de-Bellecombe/​Praz sur Arly/​Flumet/​Crest-Voland,Les Saisies,France,6.5394475,45.7573298,4.1 out of 5 stars,1000 m - 2069 m (Difference 1069 m),192.0,132.0,49.0,11.0,82.0,0,1,30,46,0
Ski resort Kläppen,Kläppen,Sweden,12.9374916,63.1722015,4.1 out of 5 stars,340 m - 655 m (Difference 315 m),26.0,20.3,3.5,2.2,21.0,0,1,1,15,2
Ski resort Zauchensee/​Flachauwinkl,Zauchensee,Austria,13.4568962,47.2933062,4.1 out of 5 stars,1000 m - 2176 m (Difference 1176 m),45.0,23.5,17.2,4.3,16.0,0,3,6,5,1
Ski resort Hochzeiger – Jerzens,Jerzens,Austria,10.7469146,47.1512086,4.1 out of 5 stars,1450 m - 2488 m (Difference 1038 m),40.0,10.0,22.0,8.0,9.0,0,1,4,4,0
Ski resort Cortina d'Ampezzo,Cortina d'Ampezzo,Italy,12.1373506,46.5383332,4.1 out of 5 stars,1217 m - 2828 m (Difference 1611 m),120.0,45.0,59.0,16.0,26.0,3,2,19,2,0
Ski resort See,See,Austria,11.0034719,46.9682801,4.1 out of 5 stars,1040 m - 2570 m (Difference 1530 m),42.5,7.2,27.0,8.3,11.0,0,3,2,3,3
Ski resort Kühtai,Kühtai,Austria,11.0234047,47.2136222,4.1 out of 5 stars,1938 m - 2520 m (Difference 582 m),46.9,9.3,26.8,10.8,12.0,0,1,6,3,2
Ski resort Stubai Glacier (Stubaier Gletscher),Neustift im Stubaital,Austria,11.307579,47.1106408,4.1 out of 5 stars,1697 m - 3212 m (Difference 1515 m),68.1,22.0,15.0,31.1,26.0,0,5,7,8,4
Ski resort Corvatsch/​Furtschellas,Surlej,Switzerland,9.8118384,46.4578296,4.1 out of 5 stars,1797 m - 3303 m (Difference 1506 m),120.0,13.0,89.3,17.7,14.0,3,0,6,5,0
Ski resort Ruka,Ruka Village,Finland,29.1311291,66.1702656,4.0 out of 5 stars,291 m - 492 m (Difference 201 m),19.1,9.1,7.0,3.0,22.0,0,1,5,9,6
Ski resort Stöten,Stöten,Sweden,12.8904555,61.2660478,4.0 out of 5 stars,438 m - 830 m (Difference 392 m),32.0,26.0,3.0,3.0,24.0,0,0,2,19,3
Ski resort Formigal,Formigal,Spain,-0.3608611,42.7741349,4.0 out of 5 stars,1501 m - 2265 m (Difference 764 m),143.0,48.0,75.0,20.0,21.0,0,0,13,4,0
Ski resort Alagna Valsesia/​Gressoney-La-Trinité/​Champoluc/​Frachey (Monterosa Ski),Alagna Valsesia,Italy,7.9371767,45.8512107,4.0 out of 5 stars,1212 m - 3275 m (Difference 2063 m),132.0,29.0,89.0,14.0,20.0,3,5,10,1,0
Ski resort Radstadt/​Altenmarkt,Altenmarkt im Pongau,Austria,13.441698918286551,47.33845535,4.0 out of 5 stars,850 m - 1571 m (Difference 721 m),17.3,9.2,7.5,0.6,7.0,0,3,2,2,0
Ski resort Hemsedal,Hemsedal Skisenter,Norway,8.503847042221093,60.850298300000006,4.0 out of 5 stars,620 m - 1450 m (Difference 830 m),44.1,29.2,10.8,4.1,21.0,0,0,5,13,3
Ski resort Alpe Lusia – Moena/​Bellamonte,Moena,Italy,11.6592663,46.3769434,4.0 out of 5 stars,1367 m - 2340 m (Difference 973 m),27.5,12.9,10.6,4.0,8.0,0,4,3,1,0
Ski resort Galtür – Silvapark,Galtür,Austria,10.1865341,46.9681674,4.0 out of 5 stars,1600 m - 2300 m (Difference 700 m),43.0,6.0,25.0,12.0,10.0,0,2,2,5,0
Ski resort Ladurns,Pflersch (Fleres),Italy,11.4205483,46.9438674,4.0 out of 5 stars,1140 m - 2030 m (Difference 890 m),18.0,8.4,8.4,1.2,3.0,0,1,1,1,0
Ski resort Civetta – Alleghe/​Selva di Cadore/​Palafavera/​Zoldo,Alleghe,Italy,12.0214638,46.4066372,4.0 out of 5 stars,1000 m - 2100 m (Difference 1100 m),72.0,28.0,36.0,8.0,23.0,0,3,10,10,0
Ski resort Peyragudes,Peyresourde,France,2.7421867,44.048888,4.0 out of 5 stars,(950 m  -) 1600 m - 2400 m (Difference 800 m),42.0,21.0,18.0,3.0,19.0,0,1,9,5,3
Ski resort Hinterstoder – Höss,Hinterstoder,Austria,14.1554223,47.6998016,4.0 out of 5 stars,600 m - 2000 m (Difference 1400 m),39.9,12.0,18.0,9.9,13.0,0,2,2,7,2
Ski resort Dachstein West – Gosau/​Russbach/​Annaberg,Annaberg im Lammertal,Austria,13.4333333,47.5167,4.0 out of 5 stars,745 m - 1617 m (Difference 872 m),51.0,15.0,33.0,3.0,22.0,0,3,8,6,5
Ski resort St. Johann in Tirol/​Oberndorf – Harschbichl,St. Johann in Tirol,Austria,12.4286809,47.5224141,4.0 out of 5 stars,659 m - 1604 m (Difference 945 m),40.0,21.5,18.0,0.5,10.0,0,4,3,2,0
Ski resort Gerlitzen,Annenheim,Austria,13.9007214,46.6599356,4.0 out of 5 stars,(500 m  -) 1000 m - 1911 m (Difference 911 m),51.6,12.4,33.1,6.1,21.0,0,1,8,4,6
Ski resort Golm,Latschau,Austria,9.8719373,47.0757157,4.0 out of 5 stars,650 m - 2100 m (Difference 1450 m),26.7,13.3,11.9,1.5,9.0,0,3,4,2,0
Ski resort Hintertux Glacier (Hintertuxer Gletscher),Hintertux,Austria,11.6824994,47.1150202,4.0 out of 5 stars,1500 m - 3250 m (Difference 1750 m),62.0,16.2,34.1,11.7,21.0,0,6,6,7,0
Ski resort Les Sybelles – Le Corbier/​La Toussuire/​Les Bottières/​St Colomban des Villards/​St Sorlin/​St Jean d’Arves,Le Corbier,France,3.7676614,47.0638042,4.0 out of 5 stars,1100 m - 2620 m (Difference 1520 m),310.0,71.3,217.0,21.7,68.0,0,1,28,30,0
Ski resort Cerler,Cerler,Spain,0.5384221,42.5927404,4.0 out of 5 stars,1500 m - 2630 m (Difference 1130 m),80.0,36.0,29.0,15.0,20.0,0,0,10,3,6
Ski resort Saas-Fee,Saas-Fee,Switzerland,7.9247055,46.107342,4.0 out of 5 stars,1800 m - 3573 m (Difference 1773 m),100.0,20.0,60.0,20.0,23.0,2,6,2,12,0
Ski resort Jasná Nízke Tatry – Chopok,Demänovská Dolina,Slovakia,19.5830227,48.9719516,4.0 out of 5 stars,943 m - 2004 m (Difference 1061 m),51.2,24.2,19.1,7.9,19.0,0,5,8,6,0
Ski resort Rinderberg/​Saanerslochgrat/​Horneggli – Zweisimmen/​Saanenmöser/​Schönried/​St. Stephan,Zweisimmen,Switzerland,7.3738058,46.553261,4.0 out of 5 stars,948 m - 2011 m (Difference 1063 m),88.9,64.3,20.6,4.0,15.0,0,4,7,4,0
Ski resort Pyhä,Pyhä,Finland,21.8610745,60.6524159,4.0 out of 5 stars,203 m - 500 m (Difference 297 m),13.4,7.0,4.4,2.0,9.0,0,0,3,5,1
Ski resort Brigels/​Waltensburg/​Andiast,Brigels (Brei),Switzerland,,,4.0 out of 5 stars,1102 m - 2418 m (Difference 1316 m),40.0,11.0,26.0,3.0,10.0,0,0,4,2,0
Ski resort Voss Resort,Voss,Norway,6.407905054203272,60.6837067,4.0 out of 5 stars,(56 m  -) 284 m - 964 m (Difference 680 m),45.0,25.0,8.0,12.0,11.0,0,1,2,6,2
Ski resort Les Angles,Les Angles,France,0.0062129,43.0835762,4.0 out of 5 stars,1600 m - 2376 m (Difference 776 m),55.0,22.0,23.0,10.0,23.0,0,1,4,12,6
Ski resort Plose – Brixen (Bressanone),St. Andrä (Sant'Andrea),Italy,13.6024247,45.9226588,4.0 out of 5 stars,1039 m - 2505 m (Difference 1466 m),42.5,19.5,9.5,13.5,7.0,0,2,4,1,0
Ski resort Almenwelt Lofer,Lofer,Austria,12.6934197,47.5866984,4.0 out of 5 stars,640 m - 1670 m (Difference 1030 m),46.0,32.0,12.0,2.0,10.0,0,2,3,3,0
Ski resort Ylläs,Yllasjarvi,Finland,24.3062996,67.5245354,4.0 out of 5 stars,255 m - 719 m (Difference 464 m),53.0,21.0,26.0,6.0,26.0,0,1,2,20,3
Ski resort Stoos – Fronalpstock/​Klingenstock,Stoos,Switzerland,7.9101456,47.1237971,3.9 out of 5 stars,(563 m  -) 1300 m - 1935 m (Difference 635 m),35.0,4.0,21.0,10.0,8.0,1,0,3,3,0
Ski resort Fellhorn/​Kanzelwand – Oberstdorf/​Riezlern,Oberstdorf,Germany,10.2792549,47.4193767,3.9 out of 5 stars,920 m - 1967 m (Difference 1047 m),34.0,13.0,19.0,2.0,14.0,2,2,6,3,0
Ski resort Hemavan,Hemavan,Sweden,15.08528,65.8152777,3.9 out of 5 stars,470 m - 1135 m (Difference 665 m),30.0,19.0,9.0,2.0,10.0,0,0,0,8,0
Ski resort Geilo,Geilo,Norway,8.2063719,60.5345261,3.9 out of 5 stars,779 m - 1178 m (Difference 399 m),34.2,18.0,12.0,4.2,20.0,0,0,4,12,4
Ski resort Berwang/​Bichlbach/​Rinnen,Berwang,Austria,10.747685,47.4091141,3.9 out of 5 stars,1079 m - 1743 m (Difference 664 m),36.0,19.2,15.2,1.6,13.0,0,1,4,6,1
Ski resort Galibier Thabor – Valmeinier/​Valloire,Valloire,France,6.4296372,45.165,3.9 out of 5 stars,1430 m - 2750 m (Difference 1320 m),160.0,60.0,85.0,15.0,30.0,0,2,17,10,0
Ski resort Espace San Bernardo – La Rosière/​La Thuile,La Thuile,France,6.0548688,45.5332609,3.9 out of 5 stars,1190 m - 2800 m (Difference 1610 m),144.0,57.0,70.5,16.6,38.0,0,1,21,11,5
Ski resort Val Cenis – Lanslevillard/​Lanslebourg/​Termignon,Lanslebourg-Mont-Cenis,France,6.8766492,45.2852643,3.9 out of 5 stars,1300 m - 2800 m (Difference 1500 m),125.0,73.0,42.0,10.0,29.0,0,2,13,14,0
Ski resort Vars/​Risoul – La Forêt Blanche,Risoul 1850,France,6.633562994753143,44.62255495,3.9 out of 5 stars,1650 m - 2750 m (Difference 1100 m),185.0,75.0,90.0,20.0,34.0,0,1,18,12,0
Ski resort Tandådalen/​Hundfjället (Sälen),Tandådalen,Sweden,12.9919443,61.1792462,3.9 out of 5 stars,572 m - 872 m (Difference 300 m),45.0,18.0,15.0,12.0,40.0,0,0,5,35,0
Ski resort Idre Fjäll,Idre Fjäll,Sweden,12.8330743,61.8896064,3.9 out of 5 stars,588 m - 890 m (Difference 302 m),41.0,17.0,22.0,2.0,24.0,0,1,4,15,4
Ski resort Le Grand Domaine – Valmorel/​Doucy/​Celliers/​St François Longchamp,Valmorel,France,6.4562373,45.4781616,3.9 out of 5 stars,1250 m - 2403 m (Difference 1153 m),165.0,115.0,35.0,15.0,47.0,0,4,14,25,0
Ski resort Hoch-Ybrig – Unteriberg/​Oberiberg,Weglosen,Switzerland,8.812121957928525,47.01978715,3.8 out of 5 stars,1040 m - 1831 m (Difference 791 m),50.0,15.0,30.0,5.0,12.0,1,0,5,3,3
Ski resort Pitztal Glacier (Pitztaler Gletscher),Mandarfen,Austria,10.8709624,46.9687229,3.8 out of 5 stars,(1740 m  -) 2685 m - 3440 m (Difference 755 m),40.0,8.0,30.0,2.0,7.0,0,2,1,2,1
Ski resort Rauriser Hochalmbahnen – Rauris,Rauris,Austria,12.956604,47.1582215,3.8 out of 5 stars,950 m - 2175 m (Difference 1225 m),32.5,15.0,12.5,5.0,10.0,0,3,1,4,0
Ski resort Ehrwalder Alm – Ehrwald,Ehrwald,Austria,10.9205046,47.3986534,3.8 out of 5 stars,1112 m - 1923 m (Difference 811 m),27.5,18.1,7.4,2.0,7.0,0,1,3,2,0
Ski resort Myrkdalen,Myrkdalen,Norway,6.4666278,60.8420056,3.8 out of 5 stars,450 m - 1060 m (Difference 610 m),32.0,14.0,13.5,4.5,9.0,0,0,2,6,0
Ski resort Riesneralm – Donnersbachwald,Donnersbachwald,Austria,14.1166667,47.3833333,3.8 out of 5 stars,973 m - 1820 m (Difference 847 m),32.2,20.2,9.0,3.0,8.0,0,0,3,1,4
Ski resort Alpe Cermis – Cavalese,Cavalese,Italy,11.4604681,46.291187,3.8 out of 5 stars,860 m - 2250 m (Difference 1390 m),24.0,10.0,9.0,5.0,7.0,0,3,3,1,0
Ski resort Rosskopf (Monte Cavallo) – Sterzing (Vipiteno),Sterzing (Vipiteno),Italy,11.4319398,46.8963235,3.8 out of 5 stars,948 m - 2120 m (Difference 1172 m),20.0,6.0,13.0,1.0,3.0,0,1,1,0,0
Ski resort Lauchernalp – Lötschental,Lauchernalp,Switzerland,7.774925346107426,46.41274665,3.8 out of 5 stars,1403 m - 3100 m (Difference 1697 m),40.0,18.0,15.0,7.0,6.0,1,1,2,1,1
