ski_resort_name,city,country,longitude,latitude,rating,elevation_info,total_slopes,blue_slopes,red_slopes,black_slopes,total_lifts,total_big_gondolas,total_gondolas,total_chairlifts,total_t_bars,total_moving_carpets
Ski resort Weikersberg – Königsbronn,Königsbronn,Germany,10.112308,48.7389826,2.0 out of 5 stars,525 m - 585 m (Difference 60 m),0.4,0.4,0.0,0.0,1.0,0,0,0,0,0
Ski resort Lackenhäuser (Neureichenau),Lackenhäuser,Germany,13.8087867,48.7408767,2.0 out of 5 stars,776 m - 788 m (Difference 12 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Blockhaus – Reichshof,Eckenhagen,Germany,7.6938426,50.9868728,2.0 out of 5 stars,436 m - 463 m (Difference 27 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Leinzell,Leinzell,Germany,9.8752549,48.8488705,2.0 out of 5 stars,410 m - 440 m (Difference 30 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Schäferkarren – Möhringen (Tuttlingen),Möhringen,Germany,9.1477922,48.7278158,2.0 out of 5 stars,678 m - 743 m (Difference 65 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Wysowa,Wysowa-Zdrój,Poland,21.1781165,49.4354584,,551 m - 596 m (Difference 45 m),0.3,0.3,0.0,0.0,0.0,0,0,0,0,0
Ski resort Weisstannen,Weisstannen,Switzerland,9.3443349,46.9891838,2.0 out of 5 stars,984 m - 1022 m (Difference 38 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Rudletzholzer Hang – Heideck,Rudletzholz,Germany,11.1318145,49.1190417,2.0 out of 5 stars,437 m - 465 m (Difference 28 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Laubendorf,Laubendorf,Germany,10.7545304,49.4962728,2.0 out of 5 stars,335 m - 363 m (Difference 28 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Cronhütte,Cronhütte,Germany,9.6864359,48.9150152,2.0 out of 5 stars,480 m - 509 m (Difference 29 m),0.2,0.2,0.0,0.0,1.0,0,0,0,0,0
Ski resort Plauberg – Falkenau,Falkenau,Germany,7.765392260932106,50.0834007,2.0 out of 5 stars,320 m - 360 m (Difference 40 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
Ski resort Hardenberg/​Möllsiepen – Meinerzhagen,Möllsiepen,Germany,7.7238259594089556,51.10153595,2.0 out of 5 stars,442 m - 486 m (Difference 44 m),0.3,0.3,0.0,0.0,1.0,0,0,0,0,0
